timestamp,t,drone_id,experiment_id,pattern,x,y,z,vx,vy,vz,roll,pitch,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,rpm1,rpm2,rpm3,rpm4,battery
1782572001.920478,68.0483787059784,drone_1,,hover,,,,,,,,,,0.008,0.026,1.037,-0.107,-0.086,-0.002,0.0,0.0,0.0,12315,12674,12345,12531,7.312
1782572002.235752,68.36365270614624,drone_1,,hover,,,,,,,,,,0.017,0.03,0.977,-0.057,0.031,-0.014,0.0,0.0,0.0,12453,12674,12453,12330,7.31
1782572002.6085563,68.73645687103271,drone_1,,hover,,,,,,,,,,0.008,0.027,0.978,-0.012,0.006,-0.009,0.0,0.0,0.0,12547,12626,12285,12468,7.311
1782572003.1859655,69.31386613845825,drone_1,,hover,,,,,,,,,,0.011,0.022,1.016,0.083,-0.009,0.002,0.0,0.0,0.0,12610,12500,12547,12738,7.307
1782572003.479286,69.60718655586243,drone_1,,hover,,,,,,,,,,-0.002,0.041,1.03,-0.092,0.099,0.018,0.0,0.0,0.0,12578,12722,12515,12360,7.309
1782572003.7513025,69.87920308113098,drone_1,,hover,,,,,,,,,,0.01,0.036,0.961,0.049,-0.013,0.0,0.0,0.0,0.0,12422,12870,12658,12224,7.305
1782572004.0419867,70.16988730430603,drone_1,,hover,,,,,,,,,,0.004,0.026,1.07,0.0,-0.006,-0.014,0.0,0.0,0.0,12547,12690,12500,12453,7.301
1782572004.3035815,70.4314820766449,drone_1,,hover,,,,,,,,,,0.021,0.027,0.982,0.0,0.039,0.018,0.0,0.0,0.0,12484,13003,12610,12422,7.305
1782572004.6034746,70.73137521743774,drone_1,,hover,,,,,,,,,,0.006,0.028,1.046,-0.054,-0.011,0.007,0.0,0.0,0.0,12195,13333,12771,11918,7.299
1782572004.8968716,71.02477216720581,drone_1,,hover,,,,,,,,,,0.015,0.018,1.027,0.071,0.004,-0.027,0.0,0.0,0.0,12239,13227,12755,12048,7.3
1782572005.2018404,71.32974100112915,drone_1,,hover,,,,,,,,,,0.009,0.022,0.975,-0.029,0.033,0.0,0.0,0.0,0.0,12210,13054,12722,11990,7.309
1782572005.5774446,71.7053451538086,drone_1,,hover,,,,,,,,,,0.011,0.022,1.065,-0.001,-0.011,0.02,0.0,0.0,0.0,12019,13422,13422,11013,7.302
1782572006.037248,72.16514849662781,drone_1,,hover,,,,,,,,,,0.171,-0.09,0.962,-0.663,-1.219,-0.123,0.0,0.0,0.0,12903,3469,14992,14947,7.283
1782572006.3162513,72.44415187835693,drone_1,,hover,,,,,,,,,,0.638,-0.382,0.335,-1.321,-4.007,-0.633,0.0,0.0,0.0,10729,2558,13568,15625,7.299
1782572006.63632,72.76422071456909,drone_1,,hover,,,,,,,,,,0.645,-0.234,-0.733,-0.751,-2.256,-0.083,0.0,0.0,0.0,125,125,125,125,7.501
1782572006.9419515,73.06985211372375,drone_1,,hover,,,,,,,,,,0.223,-0.099,-1.027,-0.283,-1.024,-0.382,0.0,0.0,0.0,125,125,125,125,7.525
1782572007.1904895,73.3183901309967,drone_1,,hover,,,,,,,,,,0.278,-0.252,-1.004,0.906,1.878,0.704,0.0,0.0,0.0,125,125,125,125,7.525
1782572007.6796484,73.80754899978638,drone_1,,hover,,,,,,,,,,0.655,-0.506,-0.675,1.302,3.511,1.415,0.0,0.0,0.0,125,125,125,125,7.541
1782572007.9331243,74.0610249042511,drone_1,,hover,,,,,,,,,,0.321,-0.994,-0.059,-0.354,-0.064,0.711,0.0,0.0,0.0,125,125,125,125,7.541
